id,slug,name,team,opponent,location,outcome,game_date,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,points,total_rebounds,minutes,rolling_pts_5,rolling_reb_5,rolling_ast_5,rolling_min_5,rolling_fg_pct_5,rolling_3p_pct_5,rolling_pts_10,rolling_reb_10,rolling_ast_10,rolling_min_10,rolling_fg_pct_10,rolling_3p_pct_10,home_away_pts_avg,home_away_reb_avg,home_away_ast_avg,rest_days,is_back_to_back
4079,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,MINNESOTA_TIMBERWOLVES,AWAY,LOSS,2025-11-14,1179,2,4,0,1,0,1,1,2,0,3,1,0,3,-14.0,5.4,4,3,19.65,7.2,5.0,1.0,18.66,0.6,0.0,7.2,5.0,1.0,18.66,0.6,0.0,,,,2.0,0
4422,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,SAN_ANTONIO_SPURS,AWAY,LOSS,2025-11-16,275,0,2,0,2,1,2,0,1,0,0,0,0,0,3.0,-0.5,1,1,4.583333333333333,7.2,5.0,1.0,20.73333333333333,0.5555555555555556,0.0,6.666666666666667,4.666666666666667,0.8333333333333334,18.825,0.5862068965517241,0.0,4.0,3.0,0.0,2.0,0
4784,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,OKLAHOMA_CITY_THUNDER,AWAY,LOSS,2025-11-19,1572,6,12,1,1,2,4,5,4,3,1,0,2,2,-6.0,13.2,15,9,26.2,6.6,4.4,1.0,18.276666666666664,0.5833333333333334,0.0,5.857142857142857,4.142857142857143,0.7142857142857143,16.79047619047619,0.5483870967741935,0.0,2.5,2.0,0.0,3.0,0
4987,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,MEMPHIS_GRIZZLIES,AWAY,LOSS,2025-11-20,1446,1,3,0,2,0,0,0,5,2,0,0,0,1,-25.0,2.8,2,5,24.1,7.2,4.2,1.6,17.673333333333332,0.5172413793103449,0.16666666666666666,7.0,4.75,1.0,17.966666666666665,0.5348837209302325,0.1111111111111111,6.666666666666667,4.333333333333333,1.0,1.0,1
5273,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,DENVER_NUGGETS,AWAY,WIN,2025-11-22,1417,3,4,0,0,1,1,2,2,0,1,0,0,3,5.0,7.2,7,4,23.616666666666667,6.4,4.6,1.4,18.9,0.48148148148148145,0.16666666666666666,6.444444444444445,4.777777777777778,1.1111111111111112,18.648148148148145,0.5217391304347826,0.09090909090909091,5.5,4.5,1.25,2.0,0
6201,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,UTAH_JAZZ,AWAY,LOSS,2025-11-28,1152,1,6,0,0,0,2,2,4,1,0,2,0,2,-20.0,1.3,2,6,19.2,9.6,6.2,1.6,26.53666666666667,0.6176470588235294,0.4,8.1,5.3,1.3,22.406666666666666,0.603448275862069,0.18181818181818182,5.8,4.4,1.0,2.0,0
6990,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,HOUSTON_ROCKETS,AWAY,LOSS,2025-12-03,1115,4,8,0,1,2,4,2,2,0,2,0,1,2,-21.0,7.4,10,4,18.583333333333332,8.8,6.0,0.8,25.059999999999995,0.5714285714285714,0.6666666666666666,7.6,5.3,1.1,21.979999999999997,0.532258064516129,0.3333333333333333,5.166666666666667,4.666666666666667,1.0,3.0,0
7528,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,MIAMI_HEAT,AWAY,WIN,2025-12-06,979,3,5,0,0,1,2,3,7,1,0,0,0,0,7.0,9.2,7,10,16.316666666666666,9.4,6.0,0.8,24.053333333333335,0.5384615384615384,0.5,7.6,5.2,0.9,21.841666666666665,0.515625,0.3,5.857142857142857,4.571428571428571,0.8571428571428571,3.0,0
7793,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,INDIANA_PACERS,AWAY,LOSS,2025-12-08,1258,5,9,0,0,1,3,3,2,2,2,2,0,1,-4.0,13.0,11,5,20.966666666666665,8.8,6.4,1.0,20.513333333333332,0.5277777777777778,0.6666666666666666,7.9,5.9,1.0,21.508333333333333,0.5230769230769231,0.3333333333333333,6.0,5.25,0.875,2.0,0
8218,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,MINNESOTA_TIMBERWOLVES,AWAY,LOSS,2025-12-14,1592,7,7,1,1,2,4,1,5,0,0,1,0,2,-3.0,16.2,17,6,26.533333333333335,8.6,6.4,0.6,17.9,0.5277777777777778,0.5,7.8,6.0,0.9,21.518333333333334,0.546875,0.3333333333333333,6.555555555555555,5.222222222222222,1.0,3.0,0
8729,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,PORTLAND_TRAIL_BLAZERS,AWAY,LOSS,2025-12-18,840,1,5,0,0,0,0,2,3,2,1,0,1,1,-3.0,2.2,2,5,14.0,9.8,6.2,0.6,18.46333333333333,0.6363636363636364,0.5,9.3,6.1,0.7,21.761666666666667,0.6029411764705882,0.6,7.6,5.3,0.9,4.0,0
10270,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,LOS_ANGELES_LAKERS,AWAY,LOSS,2025-12-28,1175,2,4,0,1,1,2,1,2,1,1,0,0,0,-18.0,5.6,5,3,19.583333333333332,5.8,5.8,1.8,18.796666666666663,0.29411764705882354,0.42857142857142855,7.8,6.0,1.2,18.63,0.4626865671641791,0.4444444444444444,7.090909090909091,5.2727272727272725,1.0,1.0,1
10656,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,LOS_ANGELES_CLIPPERS,AWAY,LOSS,2025-12-30,1031,0,4,0,0,0,0,1,2,2,0,1,0,2,-17.0,-0.2,0,3,17.183333333333334,6.4,5.4,1.6,19.913333333333334,0.3333333333333333,0.375,7.3,5.9,1.3,18.73,0.4603174603174603,0.4444444444444444,6.916666666666667,5.083333333333333,1.0,2.0,0
11162,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,PHOENIX_SUNS,AWAY,LOSS,2026-01-02,1127,1,8,0,2,1,2,3,3,3,0,0,2,5,-12.0,-1.5,3,6,18.783333333333335,7.8,6.0,2.0,22.12333333333333,0.39473684210526316,0.45454545454545453,6.9,5.0,1.4,18.886666666666667,0.41935483870967744,0.46153846153846156,6.384615384615385,4.923076923076923,1.0769230769230769,1.0,1
12281,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,GOLDEN_STATE_WARRIORS,AWAY,LOSS,2026-01-09,273,0,0,0,0,1,2,0,0,1,0,2,0,0,2.0,2.7,1,0,4.55,6.0,4.8,1.4,18.986666666666668,0.3870967741935484,0.42857142857142855,6.2,5.1,1.5,19.45,0.359375,0.4,6.142857142857143,5.0,1.2142857142857142,3.0,0
14546,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,CLEVELAND_CAVALIERS,AWAY,LOSS,2026-01-23,1222,2,6,0,1,0,0,3,5,2,0,0,1,2,-22.0,3.8,4,8,20.366666666666667,11.4,7.2,1.4,25.326666666666668,0.6571428571428571,0.4444444444444444,9.0,6.2,1.1,23.773333333333333,0.6271186440677966,0.42857142857142855,5.8,4.666666666666667,1.2,2.0,0
14813,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,DETROIT_PISTONS,AWAY,LOSS,2026-01-25,1041,2,4,0,1,0,0,2,2,1,0,0,1,1,-10.0,3.3,4,4,17.35,8.2,6.0,1.4,21.68333333333333,0.6666666666666666,0.3333333333333333,9.0,6.7,1.3,24.26833333333333,0.5967741935483871,0.4,5.6875,4.875,1.25,2.0,0
15103,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,NEW_YORK_KNICKS,AWAY,LOSS,2026-01-27,1421,3,7,0,2,0,0,2,3,0,2,0,2,1,-8.0,4.2,6,5,23.683333333333334,5.8,5.6,1.4,19.643333333333334,0.5652173913043478,0.2,8.5,6.2,1.4,23.814999999999998,0.5932203389830508,0.3333333333333333,5.588235294117647,4.823529411764706,1.2352941176470589,2.0,0
15411,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,PHILADELPHIA_76ERS,AWAY,LOSS,2026-01-29,2053,4,7,0,2,0,0,4,9,3,1,1,2,3,-1.0,10.8,8,13,34.21666666666667,6.2,6.0,1.0,20.836666666666666,0.5185185185185185,0.16666666666666666,9.0,6.7,1.3,25.728333333333335,0.5757575757575758,0.29411764705882354,5.611111111111111,4.833333333333333,1.1666666666666667,2.0,0
15712,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,BOSTON_CELTICS,AWAY,LOSS,2026-01-30,790,1,5,0,0,0,0,2,1,0,0,0,0,1,-8.0,0.2,2,3,13.166666666666666,6.6,7.6,1.4,23.26666666666667,0.5333333333333333,0.14285714285714285,8.8,7.3,1.3,25.263333333333332,0.5757575757575758,0.3125,5.7368421052631575,5.2631578947368425,1.263157894736842,1.0,1
16017,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,WASHINGTON_WIZARDS,AWAY,LOSS,2026-02-01,556,2,7,1,1,0,0,3,1,0,0,0,1,0,-11.0,2.3,5,4,9.266666666666667,4.8,6.6,1.2,21.756666666666668,0.41379310344827586,0.0,8.1,6.9,1.3,23.541666666666668,0.546875,0.26666666666666666,5.55,5.15,1.2,2.0,0
17232,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,NEW_ORLEANS_PELICANS,AWAY,LOSS,2026-02-09,1210,4,8,0,0,0,0,1,2,0,3,1,1,2,-9.0,7.2,8,3,20.166666666666668,4.6,5.2,1.2,16.10333333333333,0.38461538461538464,0.16666666666666666,5.4,5.6,1.1,18.47,0.4528301886792453,0.16666666666666666,5.523809523809524,5.095238095238095,1.1428571428571428,2.0,0
17603,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,UTAH_JAZZ,AWAY,LOSS,2026-02-11,964,3,5,0,0,0,0,1,4,1,1,1,1,3,-9.0,5.8,6,5,16.066666666666666,4.6,3.2,0.6,13.293333333333333,0.37037037037037035,0.25,5.6,5.4,1.0,18.28,0.45614035087719296,0.18181818181818182,5.636363636363637,5.0,1.0909090909090908,2.0,0
18231,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,SAN_ANTONIO_SPURS,AWAY,LOSS,2026-02-21,1265,6,9,1,1,1,2,0,3,4,1,0,0,1,6.0,14.0,14,3,21.083333333333332,7.2,4.8,1.0,18.753333333333334,0.53125,0.0,6.1,5.3,0.9,19.145000000000003,0.46774193548387094,0.1,5.6521739130434785,5.0,1.0869565217391304,2.0,0
18575,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,MEMPHIS_GRIZZLIES,AWAY,WIN,2026-02-23,1962,10,15,0,0,2,3,7,5,0,1,1,2,0,7.0,21.2,22,12,32.7,8.8,4.6,1.6,21.346666666666664,0.5675675675675675,0.3333333333333333,7.1,5.2,1.2,19.518333333333338,0.4925373134328358,0.2,6.0,4.916666666666667,1.2083333333333333,2.0,0
18970,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,HOUSTON_ROCKETS,AWAY,LOSS,2026-02-25,1807,3,11,0,2,0,0,5,5,1,0,0,2,2,-14.0,2.4,6,10,30.116666666666667,12.8,6.6,1.2,24.736666666666665,0.6122448979591837,0.5,8.7,5.9,1.2,20.42,0.5333333333333333,0.25,6.64,5.2,1.16,2.0,0
19003,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,DALLAS_MAVERICKS,AWAY,WIN,2026-02-26,1990,13,19,3,3,0,0,7,5,4,3,1,0,4,14.0,32.2,29,12,33.166666666666664,12.4,8.0,1.4,26.726666666666667,0.5576923076923077,0.25,8.5,5.6,1.0,20.01,0.4936708860759494,0.25,6.615384615384615,5.384615384615385,1.1538461538461537,1.0,1
19532,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,LOS_ANGELES_LAKERS,AWAY,LOSS,2026-03-01,1602,4,10,0,1,0,0,5,4,1,1,2,0,2,-11.0,9.6,8,9,26.7,17.0,9.4,2.0,30.146666666666665,0.5909090909090909,0.5714285714285714,11.2,6.5,1.4,22.009999999999998,0.5483870967741935,0.45454545454545453,7.444444444444445,5.62962962962963,1.2592592592592593,3.0,0
21662,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,LOS_ANGELES_CLIPPERS,AWAY,WIN,2026-03-14,2195,10,14,3,4,2,2,3,10,1,0,4,2,4,18.0,24.2,25,13,36.583333333333336,16.0,9.0,2.2,33.58333333333333,0.5932203389830508,0.25,15.9,9.1,2.1,31.16833333333333,0.5772357723577236,0.4,7.464285714285714,5.75,1.25,3.0,0
23676,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,ORLANDO_MAGIC,AWAY,LOSS,2026-03-26,2025,7,12,0,1,0,0,4,5,2,2,2,2,1,2.0,15.1,14,9,33.75,16.2,10.6,0.8,32.38333333333334,0.559322033898305,0.36363636363636365,16.1,9.8,1.5,32.983333333333334,0.576271186440678,0.3157894736842105,8.068965517241379,6.0,1.2413793103448276,2.0,0
23965,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,ATLANTA_HAWKS,AWAY,LOSS,2026-03-28,1211,8,11,0,1,0,0,5,1,2,2,0,1,1,-1.0,17.3,16,6,20.183333333333334,14.0,9.8,1.0,31.81666666666667,0.5263157894736842,0.125,15.7,9.8,1.6,32.46333333333333,0.5775862068965517,0.3333333333333333,8.266666666666667,6.1,1.2666666666666666,2.0,0
24155,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,BROOKLYN_NETS,AWAY,LOSS,2026-03-29,2059,7,14,0,1,2,7,4,4,1,1,0,3,2,-20.0,8.9,16,8,34.31666666666667,13.2,8.8,1.2,29.163333333333334,0.5283018867924528,0.14285714285714285,14.4,9.2,1.3,30.393333333333334,0.5675675675675675,0.3125,8.516129032258064,6.096774193548387,1.2903225806451613,1.0,1
24614,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,TORONTO_RAPTORS,AWAY,WIN,2026-04-01,2278,12,19,1,2,3,4,11,8,1,0,1,2,4,22.0,27.0,28,19,37.96666666666667,14.4,9.0,1.0,30.1,0.5636363636363636,0.0,14.7,9.1,1.1,29.919999999999998,0.5663716814159292,0.25,8.75,6.15625,1.28125,3.0,0
25616,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,GOLDEN_STATE_WARRIORS,AWAY,LOSS,2026-04-07,2052,6,14,0,2,1,2,2,4,4,0,1,2,0,3.0,9.3,13,6,34.2,16.0,9.0,1.2,27.5,0.6,0.16666666666666666,15.0,9.4,1.1,29.65833333333333,0.5641025641025641,0.14285714285714285,9.333333333333334,6.545454545454546,1.2727272727272727,2.0,0
26384,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,PORTLAND_TRAIL_BLAZERS,AWAY,LOSS,2026-04-12,2100,10,21,0,3,7,11,4,7,4,0,1,2,1,-1.0,20.7,27,11,35.0,13.2,8.6,2.2,28.423333333333336,0.5,0.1,13.8,8.8,1.6,29.261666666666667,0.5309734513274337,0.07142857142857142,9.441176470588236,6.529411764705882,1.3529411764705883,2.0,0
2596,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,GOLDEN_STATE_WARRIORS,HOME,WIN,2025-11-05,557,2,2,0,0,0,0,1,2,0,0,1,1,0,5.0,4.4,4,3,9.283333333333333,,,,,,,,,,,,,,,,2.0,0
2906,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,OKLAHOMA_CITY_THUNDER,HOME,LOSS,2025-11-07,1012,1,5,0,2,2,3,0,4,0,1,0,0,0,2.0,2.7,4,4,16.866666666666667,4.0,3.0,0.0,9.283333333333333,1.0,,4.0,3.0,0.0,9.283333333333333,1.0,,4.0,3.0,0.0,2.0,0
3191,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,MINNESOTA_TIMBERWOLVES,HOME,LOSS,2025-11-09,1753,5,7,0,1,2,3,4,6,0,0,1,1,3,-10.0,11.8,12,10,29.216666666666665,4.0,3.5,0.0,13.075,0.42857142857142855,0.0,4.0,3.5,0.0,13.075,0.42857142857142855,0.0,4.0,3.5,0.0,2.0,0
3553,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,DENVER_NUGGETS,HOME,LOSS,2025-11-11,1078,3,5,0,2,0,0,2,1,3,1,0,1,1,-13.0,7.1,6,3,17.966666666666665,6.666666666666667,5.666666666666667,0.0,18.455555555555552,0.5714285714285714,0.0,6.666666666666667,5.666666666666667,0.0,18.455555555555552,0.5714285714285714,0.0,6.666666666666667,5.666666666666667,0.0,2.0,0
3705,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,ATLANTA_HAWKS,HOME,LOSS,2025-11-12,1198,4,6,0,0,2,4,2,3,2,0,0,0,0,-14.0,10.3,10,5,19.966666666666665,6.5,5.0,0.75,18.333333333333332,0.5789473684210527,0.0,6.5,5.0,0.75,18.333333333333332,0.5789473684210527,0.0,6.5,5.0,0.75,1.0,1
5644,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,MINNESOTA_TIMBERWOLVES,HOME,WIN,2025-11-24,2041,5,8,0,1,0,0,1,7,0,1,1,2,4,19.0,7.3,10,8,34.016666666666666,5.8,4.4,1.0,19.63,0.48,0.16666666666666666,6.5,4.7,1.0,19.145,0.54,0.09090909090909091,7.2,5.0,1.0,2.0,0
5855,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,PHOENIX_SUNS,HOME,LOSS,2025-11-26,1485,6,7,1,1,1,2,2,3,3,1,0,0,4,5.0,14.9,14,5,24.75,7.0,5.4,1.0,22.503333333333334,0.5172413793103449,0.16666666666666666,7.1,5.2,1.0,21.618333333333332,0.5357142857142857,0.08333333333333333,7.666666666666667,5.5,0.8333333333333334,2.0,0
6480,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,MEMPHIS_GRIZZLIES,HOME,LOSS,2025-11-30,1423,5,10,1,1,0,2,3,4,0,0,0,0,1,17.0,8.1,11,7,23.716666666666665,7.0,5.6,1.2,25.136666666666667,0.5714285714285714,0.25,7.1,4.9,1.4,21.404999999999998,0.543859649122807,0.2,8.571428571428571,5.428571428571429,1.1428571428571428,2.0,0
7996,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,DENVER_NUGGETS,HOME,LOSS,2025-12-11,595,2,4,0,0,0,0,1,5,0,0,0,0,4,2.0,2.6,4,6,9.916666666666666,8.2,6.4,0.8,19.756666666666668,0.47368421052631576,0.5,8.9,6.3,1.2,23.146666666666665,0.5416666666666666,0.42857142857142855,8.875,5.625,1.0,3.0,0
9081,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,PORTLAND_TRAIL_BLAZERS,HOME,LOSS,2025-12-20,574,0,6,0,1,2,2,2,0,0,0,0,0,1,-18.0,-1.2,2,2,9.566666666666666,8.2,6.4,1.0,17.546666666666663,0.6,1.0,8.8,6.2,0.9,20.8,0.5652173913043478,0.6,8.333333333333334,5.666666666666667,0.8888888888888888,2.0,0
9180,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,HOUSTON_ROCKETS,HOME,WIN,2025-12-21,1094,1,2,0,0,3,8,1,0,2,1,0,1,1,-3.0,3.7,5,1,18.233333333333334,7.2,4.8,0.8,16.196666666666665,0.4838709677419355,0.5,8.0,5.6,0.9,18.355,0.5074626865671642,0.6,7.7,5.3,0.8,1.0,1
9429,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,DETROIT_PISTONS,HOME,LOSS,2025-12-23,1612,6,13,3,4,0,0,4,8,3,2,1,1,4,1.0,15.7,15,12,26.866666666666667,6.0,4.0,0.8,15.65,0.4583333333333333,0.5,7.1,5.2,0.8,17.703333333333333,0.46774193548387094,0.5,7.454545454545454,4.909090909090909,0.9090909090909091,2.0,0
10105,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,DALLAS_MAVERICKS,HOME,WIN,2025-12-27,1519,2,8,0,2,1,2,3,6,2,2,0,0,1,9.0,6.7,5,9,25.316666666666666,8.2,5.2,1.4,19.04,0.45454545454545453,0.6666666666666666,8.4,5.8,1.0,18.47,0.4927536231884058,0.625,8.083333333333334,5.5,1.0833333333333333,4.0,0
10885,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,BOSTON_CELTICS,HOME,LOSS,2026-01-01,1300,5,9,2,4,2,2,0,3,2,2,1,1,1,-7.0,13.3,14,3,21.666666666666668,6.0,5.6,2.0,21.436666666666667,0.3548387096774194,0.42857142857142855,6.6,5.2,1.4,18.81666666666667,0.41935483870967744,0.4444444444444444,7.846153846153846,5.769230769230769,1.1538461538461537,2.0,0
11445,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,MILWAUKEE_BUCKS,HOME,LOSS,2026-01-04,925,2,3,0,0,0,0,0,3,0,2,0,0,2,-13.0,4.8,4,3,15.416666666666666,5.4,4.8,2.0,20.506666666666668,0.30303030303030304,0.2222222222222222,6.8,5.0,1.7,19.773333333333333,0.3787878787878788,0.4,8.285714285714286,5.571428571428571,1.2142857142857142,2.0,0
11729,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,DALLAS_MAVERICKS,HOME,LOSS,2026-01-06,1313,4,7,1,1,0,0,1,8,0,1,1,1,1,4.0,9.1,9,9,21.883333333333333,5.2,3.6,1.6,18.526666666666667,0.35714285714285715,0.2857142857142857,5.5,4.7,1.7,18.66166666666667,0.3225806451612903,0.35714285714285715,8.0,5.4,1.1333333333333333,2.0,0
12531,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,HOUSTON_ROCKETS,HOME,WIN,2026-01-11,2332,4,7,0,3,2,2,3,4,3,3,0,1,3,8.0,12.9,10,7,38.86666666666667,6.2,4.2,1.2,16.46,0.4444444444444444,0.42857142857142855,6.1,4.9,1.6,18.94833333333333,0.39655172413793105,0.42857142857142855,8.0625,5.625,1.0625,2.0,0
12734,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,LOS_ANGELES_LAKERS,HOME,WIN,2026-01-12,1823,4,7,1,1,0,0,2,5,0,0,2,1,2,15.0,8.2,9,7,30.383333333333333,5.4,5.0,1.4,19.9,0.44,0.16666666666666666,6.6,5.5,1.7,21.011666666666667,0.4126984126984127,0.35294117647058826,8.176470588235293,5.705882352941177,1.1764705882352942,1.0,1
12974,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,NEW_YORK_KNICKS,HOME,WIN,2026-01-14,2315,7,14,2,4,4,7,6,8,2,2,2,2,1,16.0,20.8,20,14,38.583333333333336,6.6,5.2,0.8,22.22,0.5833333333333334,0.4,6.0,5.0,1.4,21.363333333333333,0.42105263157894735,0.2857142857142857,8.222222222222221,5.777777777777778,1.1111111111111112,2.0,0
13335,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,WASHINGTON_WIZARDS,HOME,WIN,2026-01-16,1653,7,8,1,2,1,2,4,2,1,0,2,1,0,-2.0,17.3,16,6,27.55,9.8,7.4,1.2,26.85333333333333,0.5428571428571428,0.4444444444444444,7.5,5.5,1.4,22.69,0.4603174603174603,0.375,8.842105263157896,6.2105263157894735,1.1578947368421053,2.0,0
13727,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,PORTLAND_TRAIL_BLAZERS,HOME,LOSS,2026-01-18,1063,2,3,0,1,0,0,0,3,2,0,1,1,3,-14.0,3.5,4,3,17.716666666666665,11.2,6.8,1.4,27.986666666666668,0.6111111111111112,0.4,8.6,5.8,1.4,23.486666666666668,0.5074626865671642,0.4117647058823529,9.2,6.2,1.15,2.0,0
14071,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,MIAMI_HEAT,HOME,LOSS,2026-01-20,1324,2,4,0,1,2,2,0,5,1,1,0,2,1,-9.0,4.8,6,5,22.066666666666666,11.8,7.4,1.6,30.619999999999997,0.6153846153846154,0.36363636363636365,9.0,5.8,1.4,23.54,0.5454545454545454,0.3888888888888889,8.952380952380953,6.0476190476190474,1.1904761904761905,2.0,0
14146,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,TORONTO_RAPTORS,HOME,LOSS,2026-01-21,1243,5,6,1,1,0,0,2,6,1,0,0,0,1,-9.0,12.3,11,8,20.716666666666665,11.0,7.0,1.2,27.26,0.6111111111111112,0.4444444444444444,8.2,6.0,1.3,23.580000000000002,0.5409836065573771,0.3333333333333333,8.818181818181818,6.0,1.1818181818181819,1.0,1
16760,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,LOS_ANGELES_CLIPPERS,HOME,LOSS,2026-02-06,487,2,4,0,2,2,2,2,2,1,0,1,0,1,5.0,7.0,6,4,8.116666666666667,5.0,5.8,0.8,19.53666666666667,0.4,0.16666666666666666,6.6,5.9,1.1,20.61,0.5263157894736842,0.25,8.91304347826087,6.086956521739131,1.173913043478261,2.0,0
16978,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,CLEVELAND_CAVALIERS,HOME,LOSS,2026-02-07,945,1,3,0,1,0,2,0,2,2,2,0,0,2,-7.0,2.7,2,2,15.75,5.4,5.8,0.8,17.69,0.4,0.14285714285714285,5.6,5.7,1.1,18.666666666666664,0.4716981132075472,0.16666666666666666,8.791666666666666,6.0,1.1666666666666667,1.0,1
17829,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,ORLANDO_MAGIC,HOME,LOSS,2026-02-19,2020,7,12,0,1,0,0,2,8,1,4,2,3,3,-21.0,14.1,14,10,33.666666666666664,5.4,3.6,0.8,13.873333333333335,0.4444444444444444,0.25,5.1,5.1,1.0,17.815000000000005,0.42857142857142855,0.1,8.52,5.84,1.2,8.0,0
19789,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,PHOENIX_SUNS,HOME,LOSS,2026-03-03,2337,8,14,0,2,2,2,3,6,1,1,1,0,1,0.0,17.3,18,9,38.95,15.8,9.2,2.0,28.75333333333333,0.5625,0.5714285714285714,11.5,7.0,1.5,23.753333333333334,0.5520833333333334,0.36363636363636365,8.73076923076923,6.0,1.1923076923076923,2.0,0
20123,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,NEW_ORLEANS_PELICANS,HOME,LOSS,2026-03-05,2453,12,16,1,3,4,6,1,11,5,1,2,0,2,-1.0,30.9,29,12,40.88333333333333,16.6,10.4,1.4,32.32666666666667,0.5507246376811594,0.375,12.7,7.5,1.5,26.836666666666666,0.5566037735849056,0.36363636363636365,9.074074074074074,6.111111111111111,1.1851851851851851,2.0,0
20666,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,CHICAGO_BULLS,HOME,WIN,2026-03-08,2343,6,12,1,1,0,0,1,8,3,0,0,0,3,17.0,11.0,13,9,39.05,18.0,10.4,2.4,33.96333333333334,0.5714285714285714,0.36363636363636365,15.4,8.5,1.8,29.35,0.5882352941176471,0.38461538461538464,9.785714285714286,6.321428571428571,1.3214285714285714,3.0,0
21086,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,INDIANA_PACERS,HOME,WIN,2026-03-10,1172,3,6,0,1,0,0,1,6,0,0,1,1,1,-7.0,4.8,6,7,19.533333333333335,19.4,10.2,2.8,35.75,0.6056338028169014,0.5,15.9,9.1,2.1,31.238333333333333,0.5853658536585366,0.42857142857142855,9.89655172413793,6.413793103448276,1.3793103448275863,2.0,0
21204,achiupr01,Precious Achiuwa,SACRAMENTO_KINGS,CHARLOTTE_HORNETS,HOME,LOSS,2026-03-11,1770,6,11,0,1,2,2,4,4,2,1,1,1,3,-22.0,13.6,14,8,29.5,14.8,9.2,2.0,33.023333333333326,0.5689655172413793,0.25,15.9,9.3,2.0,31.584999999999997,0.5806451612903226,0.4,9.766666666666667,6.433333333333334,1.3333333333333333,1.0,1
